seats,is_trial,tenure_days,total_subscriptions,active_subscriptions,churned_subscriptions,total_mrr,avg_mrr,max_mrr,total_arr,num_upgrades,num_downgrades,num_trials,has_auto_renew,pct_annual_billing,subscription_duration_avg,sub_churn_ratio,ever_upgraded,ever_downgraded,net_plan_movement,total_usage_events,total_usage_count,avg_usage_count,total_usage_duration_secs,avg_usage_duration_secs,total_error_count,avg_error_count,unique_features_used,beta_feature_usage_count,usage_days,days_since_last_usage,error_rate,feature_breadth_ratio,usage_density,total_tickets,avg_resolution_hours,max_resolution_hours,avg_first_response_mins,avg_satisfaction_score,min_satisfaction_score,num_escalated,num_urgent_tickets,num_high_tickets,pct_urgent,escalation_rate,has_low_satisfaction,critical_ticket_count,churn_event_count,total_refund_usd,avg_refund_usd,had_preceding_upgrade,had_preceding_downgrade,is_reactivation,days_since_last_churn,plan_tier_encoded,latest_plan_tier_encoded,tenure_bucket_encoded,seats_bucket_encoded,recency_bucket_encoded,industry_Cybersecurity,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_AU,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_ads,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner,main_churn_reason_budget,main_churn_reason_competitor,main_churn_reason_features,main_churn_reason_none,main_churn_reason_pricing,main_churn_reason_support,main_churn_reason_unknown,target
9,0,77,10,10,0,12603,1260.3,5771,151236,1,0,2,1,0.3,42.7,0.0,1,0,1,55,535,9.727272727272727,152339,2769.8,38,0.6909090909090909,27,4,55,22,0.6909090909090909,0.675,1.0,2.0,23.0,27.0,91.0,3.0,3.0,0.0,1.0,1.0,0.5,0.0,0.0,2.0,2.0,0.0,0.0,True,False,False,27.0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
18,0,503,8,8,0,10004,1250.5,5572,120048,3,0,0,1,0.75,336.125,0.0,1,0,3,35,355,10.142857142857142,101136,2889.6,14,0.4,23,2,35,3,0.4,0.575,1.0,3.0,38.0,64.0,73.33333333333333,4.0,3.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,0.0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,127,15,12,3,18286,1219.0666666666666,5771,219432,1,1,1,1,0.4666666666666667,62.8,0.2,1,1,0,83,821,9.891566265060241,251210,3026.626506024096,48,0.5783132530120482,34,5,80,10,0.5783132530120482,0.85,1.0375,3.0,43.666666666666664,65.0,63.666666666666664,4.666666666666667,4.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,2.0,62.66,31.33,False,True,False,1.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
24,1,493,7,7,0,9275,1325.0,4776,111300,2,0,1,1,0.42857142857142855,205.57142857142858,0.0,1,0,2,41,382,9.317073170731707,102528,2500.682926829268,21,0.5121951219512195,26,5,40,21,0.5121951219512195,0.65,1.025,2.0,29.0,44.0,174.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,True,False,False,54.0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35,0,66,9,7,2,48761,5417.888888888889,21691,585132,2,0,1,1,0.5555555555555556,35.0,0.2222222222222222,1,0,2,58,579,9.982758620689655,215779,3720.3275862068967,31,0.5344827586206896,32,4,56,9,0.5344827586206896,0.8,1.0357142857142858,7.0,42.285714285714285,69.0,107.85714285714286,3.8,3.0,1.0,2.0,2.0,0.2857142857142857,0.14285714285714285,0.0,4.0,1.0,0.0,0.0,True,False,False,4.0,2,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
4,0,447,11,10,1,16810,1528.1818181818182,6965,201720,0,0,1,1,0.5454545454545454,250.0909090909091,0.09090909090909091,0,0,0,47,457,9.72340425531915,140541,2990.2340425531916,21,0.44680851063829785,28,6,44,42,0.44680851063829785,0.7,1.0681818181818181,4.0,43.0,65.0,74.75,3.0,3.0,0.0,1.0,2.0,0.25,0.0,0.0,3.0,3.0,0.0,0.0,True,False,False,46.0,2,0,3,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,0,299,9,9,0,16633,1848.111111111111,5174,199596,0,0,1,1,0.7777777777777778,143.66666666666666,0.0,0,0,0,39,373,9.564102564102564,116964,2999.076923076923,14,0.358974358974359,26,3,39,15,0.358974358974359,0.65,1.0,6.0,39.166666666666664,61.0,89.83333333333333,3.8,3.0,3.0,0.0,2.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,False,False,False,0.0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
3,0,627,10,9,1,13048,1304.8,4179,156576,0,0,1,1,0.5,336.4,0.1,0,0,0,41,382,9.317073170731707,111506,2719.6585365853657,23,0.5609756097560976,29,5,39,30,0.5609756097560976,0.725,1.0512820512820513,3.0,42.666666666666664,54.0,57.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,True,False,False,235.0,1,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
12,0,113,10,10,0,23057,2305.7,13333,276684,1,0,3,1,0.8,61.3,0.0,1,0,1,48,472,9.833333333333334,145429,3029.7708333333335,29,0.6041666666666666,27,5,48,3,0.6041666666666666,0.675,1.0,4.0,32.5,60.0,75.25,3.6666666666666665,3.0,0.0,1.0,3.0,0.25,0.0,0.0,4.0,3.0,0.0,0.0,True,False,False,5.0,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
14,0,604,6,5,1,8787,1464.5,3383,105444,1,0,1,1,0.5,324.5,0.16666666666666666,1,0,1,27,257,9.518518518518519,73818,2734.0,14,0.5185185185185185,23,2,26,9,0.5185185185185185,0.575,1.0384615384615385,3.0,31.333333333333332,37.0,71.33333333333333,3.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,0.0,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
