churn_probability,churn_predicted,risk_category,target,total_mrr,tenure_days,avg_satisfaction_score
0.7574665365225954,1,Critical Risk,1,16984,54,3.0
0.7495480447199181,1,Critical Risk,1,10162,666,4.5
0.7479375215168226,1,Critical Risk,1,37312,506,3.0
0.7382473963095044,1,Critical Risk,1,42999,382,4.0
0.7269435536744764,1,Critical Risk,1,29884,311,4.0
0.7256331142891935,1,Critical Risk,1,30055,681,4.0
0.7216889378771221,1,Critical Risk,1,13028,69,4.0
0.7198834881462771,1,Critical Risk,1,13295,680,5.0
0.7196721722113156,1,Critical Risk,1,18249,73,3.8
0.7185983152327082,1,Critical Risk,1,5624,528,4.5
0.7185202109440616,1,Critical Risk,1,28273,689,5.0
0.7169708290664514,1,Critical Risk,1,32433,614,5.0
0.7082233368780596,1,Critical Risk,1,14583,139,3.8
0.7028217196777764,1,Critical Risk,1,44077,376,5.0
0.6977433390269135,1,High Risk,1,21821,188,3.0
0.6965525540456659,1,High Risk,1,9514,615,3.0
0.6940379139127039,1,High Risk,1,4498,729,3.5
0.693377810851206,1,High Risk,1,28328,325,4.0
0.6911044546971743,1,High Risk,1,4812,355,5.0
0.6875331504955898,1,High Risk,1,14152,440,4.0
0.6817884573297974,1,High Risk,1,34136,657,4.0
0.6802153278041044,1,High Risk,1,12015,111,3.6666666666666665
0.6797120876153122,1,High Risk,1,7415,120,0.0
0.6695717485375343,1,High Risk,1,27803,175,4.75
0.6664140489135947,1,High Risk,1,26608,468,4.5
0.6655533768806191,1,High Risk,1,29155,704,4.0
0.6594292274595456,1,High Risk,1,7503,407,3.0
0.6589933522382373,1,High Risk,1,8721,636,3.6666666666666665
0.6587714413802611,1,High Risk,1,6449,68,0.0
0.6565135847832952,1,High Risk,1,17111,595,3.333333333333333
0.6564662398638333,1,High Risk,1,28558,185,5.0
0.6533374122760707,1,High Risk,1,12445,190,4.5
0.6533135384192884,1,High Risk,1,8916,176,4.0
0.6529644893623677,1,High Risk,1,34155,587,3.0
0.6528196450022192,1,High Risk,1,48761,66,3.8
0.6524913195699027,1,High Risk,1,19604,692,0.0
0.6522793601378737,1,High Risk,1,51680,278,5.0
0.6468689251842313,1,High Risk,1,9027,41,4.5
0.6460606216334855,1,High Risk,1,3511,601,3.333333333333333
0.6452228708670147,1,High Risk,1,18132,414,3.6666666666666665
0.6449984511609863,1,High Risk,1,18500,216,4.333333333333333
0.6410918936979813,1,High Risk,1,16650,482,3.7142857142857135
0.6399358411705759,1,High Risk,1,23942,350,4.0
0.6385299483975213,1,High Risk,1,12326,438,3.0
0.6378389115188251,1,High Risk,1,17884,438,4.0
0.6376744168249769,1,High Risk,1,5375,271,0.0
0.6344389882890047,1,High Risk,1,3409,606,4.0
0.6342903152354341,1,High Risk,1,30471,378,3.75
